commentId,text_clean,label
UgxbiVJ198p_m27R7EZ4AaABAg,"When my son was 6 years old he yelled in the middle of the night crumpled on the floor, “MOMMY I CANT WALK!!!”;His dad and I swooped him up up and rushed to the emergency room, his body now limp in my arms. I swore he had something like polio or meningitis! The dr told us that he had the flu. I asked WHAT THE HELL KINA FLU IS THIS?. he replied, the real flu. This is influenza! he was in hospital for seven days getting hydration because the fever was so high and was sick for fifteen days straight. Ever since since he was a child HE ASKS to get the flu shot. We all so in my family. I never saw anything like it!",1
Ugw225xsevEbHyfJsrd4AaABAg,"I am happy i got flue shot ,never ever get cold amd caught, ots been 4 years now,goobye cold and caught ❤",1
UgwRZsgTagLr9O53gMV4AaABAg,"Why is the man getting a flu shot after he had already contracted the flu ⁉️ Are our doctors even taking immunology courses anymore ⁉️ It's basic immunology: if you contracted the disease and recovered, then you are immune to it for a period of time and the immunity is superior to that from vaccines.",0
UgwryWtCPl8XnZcNXSV4AaABAg,Shout out Antioch charter academy 2 . Its my birthday today it woild mean a lot we watch your episodes even in quarantine,0
Ugxc-kIFX00ysF3uR6N4AaABAg,Great news! Thanks for the update!,1
UgzQN7xtja6-_QXWgyR4AaABAg,Yes it can make you sick. We are very sick.,0
UgzCsK-3FAzIznhOsxh4AaABAg,"I broke down and had a flue shot 15 years ago. Spent the better part of a week flat on my back with the flue. Never again. Survived Covid as did my wife, children and grandchildren.The only one that got sick was a son-in-law who had to get the shot for work. Nothing beats a healthy fully functioning immune system.",-1
UgypLZz3GZZTdEt8SVd4AaABAg,Hi I had the flue jab and I got the flue 3 days later was very ill had to see the Doctor who gave me steroids and later Antibiotics.I have Asthma and a week chest ended up in hospital for a day .I will never ever have a flue shot ever ever again.,-1
UgwyscapWFbFhOO-oql4AaABAg,I hate this administration sooooo much. 🤬😤,0
UgxNENckUhFELG20sRp4AaABAg,"That is true. All this time I thought I had the flu during my childhood and knew what it was until 2019. Something first started out with a cough and then day 2, I started getting muscle aches, then day 3 I was throwing up and fainting, and then day 4 I was near bedridden. If it was not for a call to a physician and a prescription of Tamiflu, I do not know how bad it could have gotten. The cough still remained for 2 months more. The common cold will almost always begin with a congested nose and then move down from the head to the nose/mouth area, and then to the lungs before it goes away. Two entirely different sicknesses.",-1
UgyoYzRrpPOZLqFW5mZ4AaABAg,Now mention all the other toxic ingredients in those jabs,-1
UgyHNHYTTY84mGCcrxR4AaABAg,I’m sure Big Pharma would not really be on board with this,-1
UgyWQEjo_XgfTPbvD594AaABAg,Bro it’s basically if you get a toothpick and then poke your self with it then Count to one or two seconds and then you’re done ✅,0
UgwOqd9CQ7b6qF2bZdd4AaABAg,Pure Bullshit ......... Don't take the flu shot,-1
UgzVJbku0AYuC5pabJV4AaABAg,"Pls, we all know why that happened. Thank you for the r keeping us posted",1
UgzXvhUnUxTHUQswKL14AaABAg,"It is pretty easy: natural sunlight, fresh food diet, clean, keep you hands away from your eyes. Haven't had influenza in ages. Never take shots. Those are a dangerous racket. Oh. And stay away from WHO. That alone could save your life.",-1
Ugw4a2r7lyEG-U0AYn14AaABAg,"I love Dr.Greger, but I'm not down with taking the vaccine. Specially the ones from two years ago😉 I rather stay healthy on a WFPB, work out, have a positive mind set and not live in fear.",0
UgwzDBkYWNC6PSDC_lp4AaABAg,I’m gonna throw up..,0
Ugx0MRrrLEu_7XqBahZ4AaABAg,All u need is taking vitamin d3 with k AND zinc.,0
UgwVOSXeDJ22sF2SHid4AaABAg,Scegliete di vaccinarvi su consiglio e quindi ogni anno! oppure non farlo mai. E stare bene grazie al vero e unico sano riequilibrio dell'organismo.,0
UgyavBS3Ao108C5RKEN4AaABAg,Me who hasn’t gotten a flu shot in years 🗿,0
UgyY5uoHEAzIUpW8POZ4AaABAg,Animal based vaccine = Good Animal based foods = Bad The beauty of conundrums.,-1
UgzQ-J64ENd05Mr2RE94AaABAg,"Constantly keep thinking to yourself ""I never get sick""",-1
UgxeSjNwp06qk-Wc8XB4AaABAg,Can your neck ache from the flu shot after 1 month??? 💚 O+,0
UgyeGkA8cVS45RZac3R4AaABAg,I got my last flu vaccine and any vaccine of any type when I was in nursing school and realized two years in a row I was incredibly sick after getting my flu vaccine. That was 42 years ago and I've never gotten the flu or a cold even SINCE.,-1
Ugw4CHSHQsWtbnFwP1R4AaABAg,Always lies...,-1
UgxEHcl8MWaHv94pLC94AaABAg,I hope that every one with positive responses to this have since had an awakening to the fact that it’s never good to have poison injected directly into your blood stream. If you only knew of all the added poisons in it apart from a bit of virus.,-1
UgxeFCzppsemdRIGFLV4AaABAg,"72 year female here. nine days ago, my husband came down with a nasty case of the flu. He still has the cough. He had taken a flu shot. On the other hand I did not get the flu shot, I take astragalus tincture every day, I eat Whole Foods, do not drink alcohol, I’ve been wiping down all of the high touch surfaces with Chloraseptic wipes, keep my hands washed, open the bedroom window wide during the day and cracked open at night, and I do not touch my face. Even after all of the exposure, I have not gotten sick. I’m saying this as I knock on wood.",0
UgzmTV5DSohKgAChSoB4AaABAg,We'd have a better match to flu strains if mRNA flu vaccines were used. It takes much less production time than for current flu vaccines.,0
UgzfNXxJvyFdzUIR27F4AaABAg,"It's just another facet of their overall grift, and while this will have life and death consequences they couldn't care less.",0
Ugyq37oK4E1gj2nt2GB4AaABAg,"2:28 ""When it's a good match, vaccinated individuals are about 60% less likely to catch the flu than people who aren't vaccinated, studies show."" The formaldehyde and aluminum salts doesn't seem worth it.",1
Ugxsm93gCnMbvfD9QWl4AaABAg,You’re right… I believe what you are saying as a Doctor because that for me is a huge factor that many tend to ignore…,0
UgwFem68jDpyD-zJDKx4AaABAg,"Missed my flu vaccine for the first time in years. Started Tamiflu today for the very first time. I always regret not getting it, but I live in a community where I have to basically keep my vaccination status a secret.",-1
UgzGUdqqQP7ooBwJEX54AaABAg,So your telling me I don't need to buy the flu shot. I just need to buy chickens,-1
UgxpdRW1srW_EKczdvN4AaABAg,Ive been taking the flu jab for 25 years and have had no problems except for the horns on my head and a drool of shaving foam leaking from my gluteus maximus .,0
Ugynoy_q6QLBY2r69wV4AaABAg,"One thing, when you said “it shouldn’t hurt” for me, that would be a lie, every time I take any type of shot, if I don’t use stuff that stop pain, I hurt to much I cry, and I fell from the top of my room (I was 3 and used the curtains to climb out of my bed, to the top of the roof) and broke a bone, and I didn’t cry or even whimper.",0
UgyYwY1iKawYojjXEaR4AaABAg,"lol, mRNA. We already see how effective it is against COVID variants",0
UgwkJO54xyhMkgt3GX14AaABAg,"Every year they just guess from what the flu virus is doing in the southern hemisphere? So they try to make a vaccine to mimic that. So they, like pretty much in western medicine are just guessing. The last time I got a flu shot two weeks after I was setting on a plane and came down with the flu. Now I was a medic in Germany and I worked with German docs who told me about a dr Simmons who believed we not only transmit the flu virus through our nose eye month but also through our ears. And H202 in our ears can kill those viruses. So I tried it many times in my life H202 and have stopped the flu virus in its tracks.o OK, I can hear it now you’re saying that is just crazy. I’ve heard it before. I also do not care to inject mercury Thimerosal into my body that is in these vaccines. Why take a chance. Or you could Just wash your hands? Peace",0
UgwvKoD8oU-imXnO4X14AaABAg,"I used to rely on flu shoot, but still get bad flu. Don’t trust on the flu shot anymore. For sure, flu shot can lower the immunity. Our body gave a free immunity and is the best source to fight any disease. Eat simple whole food, exercise, once a while doing fasting ,stay outdoor more often, gratitude and positive mind set will help you prevent and cure any diseases. Haven’t been sick for six years. Maybe search dr. Eric Berg’s videos to learn how to eat healthy and maintain good health. Be health, be safe friends.",-1
UgzHeMQzWU4VTRCSQFJ4AaABAg,Cool Story Bro 😂😂😂,0
UgxVNBwTaaO3LQwfAVN4AaABAg,"Another indicator of poor Mr. Clark's abysmal underlying health condition is the premature greying/whitening in his beard - at only 42 years old! If he were single, he wouldn't exactly be date bait. For the sake of his family, I hope he mans up and joins a proper exercise and diet program so he'll be with his loved ones long enough to help with grandchildren. Instead, he's sitting taking telephone calls, probably on paid time, trying to convince other people to take the flu shot. AND ""they"" got him to take a flu shot when he was still recovering from his near death experience in the hospital and presumably had enhanced immunity anyway. Does anyone smell medical malpractice/",0
UgzM4gDPIwl0V863bWp4AaABAg,FEAR MONGER,0
UgxWHVYxzWL0F3q41s54AaABAg,"It's gonna be real ironic when the next deadly influenza pandemic hits, and it's as bad as COVID, and the anti-vaxxers say ""bUt ItS jUsT tHe FLU!"" then drop dead.",-1
UgyytH128RzA9GBAmLx4AaABAg,"Read the insert, AIDS, Cancer, Infertility...",0
UgyqBpPzWnvP-sOi4Yd4AaABAg,"I feel like one day they'll just network our immune systems. I get a new virus, my immune system fights it, produces antibodies for it, and sends a message over the network to everyone else's immune systems to start producing antibodies for the virus if they don't already have them. Asta la vista, disease.",-1
UgyAJMNzUjXrN3ERJQN4AaABAg,"💊 I’ve launched a new channel — Alt Meds! It’s a pharmacist-led platform focused entirely on evidence-based alternative and natural medicine — where we separate science from marketing. 🌿 If you’ve trusted the research shared here, you’ll love the deep dives on herbal medicine, nutraceuticals, longevity compounds, and real human data. Join the new community built on one principle: Evidence, not influence. 👉 Subscribe to Alt Meds now: Thank you for your continued support — let’s keep advancing pharmacist-led, research-based education together. 🔬💚",-1
UgxpChkgCOMOhz1pqLp4AaABAg,How can you prove the flu shots prevents the flu ? I'll wait,0
Ugw8vs-pPrbRdJzwmBN4AaABAg,I guess im gonna get a flu shot in 7 grade,0
UgzXjZt6u2smSrN1qWp4AaABAg,I got the flu that year after the flu shot. There is a way,0
Ugz5Kes1dGoCJyO9u5V4AaABAg,"Ah another doctor pushing their own concoctions and saying ""trust me I know the science, the others are not telling you the truth but I am, here take my stuff it is better for you"". Sadly, you are just another influencer on Youtube that wants to convince others your smarter and know better. If you truly cared you would not sell your own products. Hey don't get vaccinated and promote others to follow, this earth has way too many people who are don't think for themselves. Good luck everyone else.",-1
Ugxr75a__tgqdTyBAed4AaABAg,"Got a shot faithfully for decades. Last 2 years had a significant adverse reaction. No help from the health authorities, so I have reluctantly skipped the shot.",0
UgwrQRiVURQdsfIeZDd4AaABAg,"Dr.Mike, one most common claims i want you to answer is the thought that too much vaccines will only weaken your immune system.",0
UgxROAb631y2_pJ4gdh4AaABAg,"Yes, please take double dose of flu-shot this winter. This planet needs to detox of stoopid dodos.",0
UgwgHZo6n_v4AH9MkU54AaABAg,Could you talk about this animal dewormer Fenben or what they make it sound in short. And its potential for novel cancer treatment. How many years before its going to be looked more closely at?,0
Ugyx1NDylAORMv6n0D14AaABAg,I am not against vaccines but I have to admit I haven't gotten a flu shot in over ten years and I hardly ever get sick,0
UgyZGyghOXtHK8MLxrJ4AaABAg,😮 and... someone insisted we take the jab,0
UgxFpbLcI2IwYWYUIgl4AaABAg,"Isn’t it funny how nobody died from the flu when they made up Covid? What a crazy coincidence that mortality rate stayed the same during the Covid period? Do not let them stick anything in you, ever. What a bunch of BS",0
UgwkQMrl7WfHAgz4rvV4AaABAg,"In the UK many GPs don't think thaprediabetes is serious. They often don't understand diet, and wait until somebody is fully diabetic. sadly.",-1
Ugjq-9F3c9MNoXgCoAEC,"Lol this video is the biggest load of crap, your literally just reciting the over and over pharmaceutical scientists properganda lies about the body, just cos they got lots of money and power doesn't mean these vaccines are safe, when you look at the statistics more people are getting sick and some even dying than the amount of lives saved.court cases have already finished and completed all on camera proving that some cause autism",-1
UgwkkjdH8I3rso97aJl4AaABAg,Oh right they didn’t consider which chicken diseases they’d be causing in humans like Bird flu???! How stupid are these people?,0
Ugz7wkmYKBBHH_tdzkR4AaABAg,Vaccines? Pffft I got essential oils that I rub on my kid and He looks gre- oh and he’s dead,0
UgwxN-igOWyPB3REvLR4AaABAg,"Everyone certainly has a choice whether or not to get vaccinated but I would STRONGLY suggest for everyone to do their own research and make an informed decision, using common sense. I have done my research and at this time I will not get any vaccine, for any reason, at any time. Bill Gates, a major vaccine pusher and population control advocate, has been booted out of India for giving a tetanus vaccine to teen girls/ women under 40 years of age. 150,000 of them are now sterile as a result. This is just the tip of the iceberg of the many things I found out. There's an agenda. Do your own research....",0
Ugz2rqdcxX_80I2obO54AaABAg,"I put my trust in God, healthy eating, drinking filtered water, gardening and STRONG my healthy and strong immune system. NO needles of any kind for me.",0
Ugx9JB8m0gkJoOyU3Vh4AaABAg,"I haven't had the flu for decades, without getting vaccinated. A month ago, I accepted flu and rsv vaccines. It made me slightly sick for 3 weeks. Coincidence?",0
UgzZqG1TdHFV6ZlC6rx4AaABAg,Doctor Mike binge 2019 💛,0
UgyksS_C5rRK9k2W28d4AaABAg,"Hi doctor mike I had a cold, then a respiratory infection, then I got influenza B, all in a month. My fever is 103.4, is this dangerous?",0
UgwuYHLGKqh2-rCwx_p4AaABAg,"Dr Mike:You need to get the flu shot Me:But,it hurts a lot",0
UgxDm-mjwvalpfZRXuB4AaABAg,I’ve never had the flu before but I’m very curious about it now,0
UgzI2nUZAdlrnpAR_cF4AaABAg,"And yet flu shots are still not recommended for people under 60 in Germany. Only for the chronically ill, but I am chronically ill and my pharmacy wouldn't vaccinate me because I'm under 60. The first step to getting people vaccinated would be to make the flu shot easily accessible and recommended everywhere.",-1
Ugw2eyUa6yzBM411LG54AaABAg,"The Navy pumped me full of vaccines with not any effort to determine what I had already had. When I got out, I decided that I had enough vaccines to last the rest of my life. I was 21 then and had no vaccine until the Covid shot was required by my employer. 52 years with only the covid shot. At 73, I am doing just fine, thank you very much.",1
Ugx9hbFEFJKLa_yW_L94AaABAg,i got a flu shot yesterday and it still hurts,0
UgwiJWqGaAejxw4XAEN4AaABAg,Thanks sir,0
Ugxe1K9GtRJLNFLWzux4AaABAg,The injections were laced with stuff that caused adverse effects that's why the inserts were intentionally left blank,0
UgxBMyFkGKpOW-M6ZeF4AaABAg,I almost died from a flu shot when I was 39 years old. I was hospitalized and I said NEVER AGAIN. Fast forward to the plandemic…..I got some sniffles and a light fever…..no shots ever. I walk EVERYDAY.,-1
Ugz6S-kg2lmCJ8GqPwB4AaABAg,Can you trust them??,0
Ugy3SSZOGlBjjM_ip_d4AaABAg,I took the COVID vaccine. Still got covid weather through the sickness of the vaccine then caught covid anyway. Got the flu shot I've got Flu. Done with both they don't work.,-1
UgycSJOtdp62ZjMFqCZ4AaABAg,"Stopped getting the flu shot at 18, and I have never have gotten the flu every year. I never run a high temperature when I get sick. My highest was 99.3 when I got Co\/id-19. And when I got the superflu a couple of weeks ago, I was running a 98.8. It's weird, because when I get sick with it, I don't run the normal high temperature.",-1
UgxqTTYBe8oQwgNRHcJ4AaABAg,"Very re, assuring vlog. 😂😂😂😂😮😮😮",0
UgxQocIswoQjTCsQ0-54AaABAg,Who owns the old vaccine?,0
UgybuNrfNi7A82zvxe54AaABAg,Tough situation predicting particular flu strains ....with so many travelers,0
UgxMPO7hpSjPBkybdXd4AaABAg,How do you fell about the shingles shingrix shot?,0
UgywDojeKELlGXlx4714AaABAg,You watch. Life expectancy will increase since pharma committed vaccine suicide.,-1
UgzCS6uR2E2pQXn95Vp4AaABAg,“Why companies continue to rack in billions of $ per year” fixed the title,0
Ugw-2CWucWyhF_Yjhol4AaABAg,SSM Health Cardinal Glennon Children’s Hospital please ban sick haters from commenting in this comments section,0
UgyDBK4B9sCXygRlQqh4AaABAg,Why they keep pushing people to get it????,0
UgzA9E2b6rU67M757nt4AaABAg,I will be getting mines ASAP,0
UgwjVJV7f2go5NP54kV4AaABAg,"Its true , we are seeing it all around us . We are not blind you jerk",0
UgzlF5Np39m0-JDZ9uJ4AaABAg,Medical professionals are part of the misinformation during the big C mass delusion. Damage has been done.,0
UgyXny7GJu0_syBZi994AaABAg,"I have not taken any vaccines for over 10 - 15 years. I tell my doctor im an anti vaxxer. Vaccines cause harm, they shouldnt even exist anymore.",-1
UgzmOCnBLxLeySWxuZV4AaABAg,"No gloves, no alcohol swab🤦🏼‍♀️",0
UgxWnhElxge6OjydW2B4AaABAg,Sometimes you can get like really sick after a flu shot and your arm hurts so bad so there is some extreme side effects,-1
Ugwd5JLaIAt61_VENZt4AaABAg,"I still have a cough and wheezing and lower rib pain from Influenza A that I got the weekend after Christmas 2025, 2.5 weeks ago. I had a fever as high as 103.5°F. It's true what they say about telling the difference between a cold and the flu: A cold may drag you down a bit, but the flu will make you shudder at the very thought of getting out of bed.",0
UgyJiNfN2FcIDBSnyNJ4AaABAg,"Thanks, Doc! 😎👍⚕️",0
Ugwu_sxUSxv-FVO3i-B4AaABAg,The bastard soiling the WH WILL receive Moderna's vaccine. This is the criminal's grifting interfering with any other stream of income other than what will line Trump's & cronies pockets. America is being controlled by CRIMINALS.,0
UgyFyTGGyOEPtM1CLKR4AaABAg,HAPPY 67TH COMMENT!!!🎉🎉🎉,1
UgyvLpX_kyEIHAiZ9bt4AaABAg,Oh my god im getting mine done soon the needles so big,0
Ugz8GXCMkEgrd0eyvjt4AaABAg,the animation is amazing,0
Ugz8RyIXXfQklbW7ajZ4AaABAg,"I mean…I literally got it, every single time though.",0
Ugy_Rc8yYks3l-1GLW94AaABAg,No vacancies required here's why.... the human body either by design or evolution has an amazing immune system take a look at the properties of the connective tissue. The connective tissue is electric magnetic and fibre optic conductive to bio active wavelengths we get from the Sun 🌞. Humans also have again either by design an evolution a awesome brain 🧠 to separate the bio active wavelengths leaving out the harmful wavelengths eg. UV. Blah blah blah we have photothearpy units delivering electrons directly to where the the human body needs them. Shielding the immune system is just one of many by-products another is cosmetic only side effects hair and finger nails grow back quicker than normal 🤯,-1
Ugy2OGfqsnXyadLWrcx4AaABAg,Because big pharma tells us to,-1
UgxP5BvSQLKfi4BW4qJ4AaABAg,"I can tell you, from childhood every year I expected to contract a flu infection, flu time was not a good time. This was the norm' until one year my usual expected annual flu infection knocked me down, I mean really knocked me down! After my recovery I promised myself to get an annual shot. For the last 25 years I have had the injection, I can tell you I have had the occasional nuisance winter colds and sniffles, but not once have I had influenza.",1
UgzNQvqf1JGWxAY38xx4AaABAg,"Irish lady had a Tetanus vaccine and was ill a few days later she contacted them and asked why, they said they included the covid19 vaccine with it, so anyone that trusts any NHS worker now is an idiot.",0
UgxjzynvNShHwjJv1o14AaABAg,I never had one and will never have one. Saw too many become ill after taking the flu shot. Good food is the best medicine.,-1
UgxAbQvnqMxCzcRFX2t4AaABAg,⁠Click like on this comment if you took mRNA booster even after FDA vaccine advisory panel included Paul Offit MD advised AGAINST approval of them and 2 expert doctors resigned in protest?,0
UgwHQBj5wxlMZ_NyoBJ4AaABAg,Mini,0
UgzPAd6L6bKrN3FaU614AaABAg,"I have never taken the flu shot. I have never had the flu. However, my coworkers who take it every year get sick missing weeks of work. NO THANK YOU!",-1
UgwSW7oEtUtsAIRnSnx4AaABAg,COVID-19 VACCINE IS THE NEW FLU SHOT,0
UgybsnnRxM2rHU4biMN4AaABAg,Hmmm .. I got the Vax too many times then got Sick from the Vax .. then got the flu shot and got the flu . ?!? And Got the Covid 2 times . I believe I will just do my Beat to be as healthy as as possible and Still Work full time .,-1
UgzfyuW672e5bMxIJtl4AaABAg,I got one but I didn’t get my Spider-Man sticker or a lollipop 🍭☹️,0
UgwOzEIAZ0voku9iMMd4AaABAg,To not get the flu Duh,0
UgyaA3fq4Xrgxplsc_d4AaABAg,The flu shot really isn’t as effective as other vaccines cos the flu changes so much. So it will be a pain in the ass for us forever.,0
UgzwBZSAbD_WTgeMhIl4AaABAg,1:20 nice animation lol,0
UgwnT5t3W7zNXylju8p4AaABAg,I didn’t get a flu shot this year lol.,0
UgzUBorGBJUVTzNnDVp4AaABAg,I love flu shots! I got one today but THAT IS NOT HOW THEY DANG PUT THE NEEDLE IN ME OMG XD but I dont like the pain after D:,1
UgwGsQShsQx0_B2lIJx4AaABAg,"Exactly my same experience. First year not getting one. Always felt crappy for a few days after the flu shot. No shot last year and haven't gotten one yet this year. No colds, no flu since stopping. I get frequent reminders from the Dr. office about being overdue on flu and covid shots. Starting to feel like self-serving guidance.",-1
UgzVlfn7Y4Vcm62Vmnd4AaABAg,I DON'T! HAHAHAHAHAHAHAHA,-1
Ugw3wbdBIgTUxULJojx4AaABAg,"Fifty years ago, I took a flu shot. I stopped because I didn't think it prevented illness, but NOW, since the mRNA BIOWEAPON of Covid Vax I AVOID ALL INJECTIONS OFFERED. I cannot trust them; the ""studies"" are not interpreted properly.",0
UgyjMU_XO6HpKIqlTDV4AaABAg,THAT'S MY EXTREME FEAR!!!!!!!!!!!!!,0
UgwSRty_1BSK4Wi8aF54AaABAg,Ooo i was really healthy He says. Got 2 pillows shoved up me front lol Body mass death mass 😮,0
UgwLHmu-GR7gp0ZRhpF4AaABAg,mRNA Covid vaxxes made me incredibly sick. I couldn't finish the boosters. I won't take an mRNA Flu shot for sure.,0
UgxXwH9_AUxhxYOTqwh4AaABAg,I guess we'll see if the strains they selected were the correct ones next fall/winter. I am less confident.,0
UgyrfndiPZXAYWomWHl4AaABAg,You’re a good doctor,1
Ugw8PCX3BhXhY6XLw3V4AaABAg,"""CDC takes vaccine safety very seriously.""",0
UgwLcGdJzNp4laROEbx4AaABAg,Thank you for this video. A colleague did not vaccinate her 4yr old. She got the flu and died. I just don't understand why people don't trust science. I get my flu shot every year as soon as it's available.,1
Ugx_YbN4AE5unYB8Xo54AaABAg,Man I got the flu last year? And it was the ONE TIME I didn't get my flu shot 🤢🤮🤒😷 its definitely not like a 24hr or even 3 day bug man. The flu is nasty I was sick for a whole month straight (symptoms for 3 weeks and it took another 2 weeks to recover completely). I knew when my fever came on and it was 102. I took an ibuprofen and fell asleep. It worked just about that long because when I woke up again it was right back up to 102 🤒🥵 and that was still just the fever the rest hadn't even come on yet. I had no idea what I was in for lol it was brutal,0
UgweOthmxsrWxOW8_dB4AaABAg,This is a shot that I never have nor will get.... PERIOD!,-1
Ugw30yjTDvM-R-_UQCd4AaABAg,I got my flu shot like a few month ago and i was just playing fortnite when my throat started hurting and i thought it would go away in like a day so i left it alone and it got worse and i got a fever and a sore throat and i got so weak i could barely lift my blanket off of me so i got a Doctors appointment and turns out i have the flu 1. But im getting better ❤,-1
Ugx45ACI3Gf1G9nHz4R4AaABAg,"Sometimes it seems to me that many members of the medical profession today get paid to prescribe certain pharmaceuticals. Perhaps that is why many are opposed to studies before prescribing new vaccines. I remember Covid, when many were forced to take the vax. The vax was too quickly formulated and the Pharmaceutical industry could not be sued if the vax hurt people. Some have died because of the effects of taking the Covid vax (which I refused to take). I agree the double blind studies should be required for all types of vaccines. I have only take the Flu vax once, which was when I was in the military and was required by order to take it. I am 76 hears old, and have been retired for 36 years and have not taken the vax since retiring. I have never had the flu and seldom have a cold.",-1
Ugx8MdydEmhnNwlIGpd4AaABAg,I got a flu shot once. And oddly enough that's the only time I ever had the flu. I'm 57 years old. So yeah I will never get another one,-1
UgwurxxyXnhotzdsz1N4AaABAg,"If it's so effective, why the mask?",0
UgwtwrvFe9q2nRA1a0V4AaABAg,Uh nope....,0
UgzpL3uLQ7amuQRb63t4AaABAg,"My grandma died from pneumonia secondary to influenza so we don’t play with flu vaccines in my family, we go every year!",0
UgxB0KUck5tKxpLl6uJ4AaABAg,What a dumb bitch.,0
UgzLHMfugDtk5W64Iyt4AaABAg,Vaccines are gross af,0
UgxBa78B1DsD053f33R4AaABAg,I've never EVER gotten a flu shot. Why would I? Sometimes I get sick. Oh well.,-1
UgxSLPQ8FSFU41NvvqB4AaABAg,CALL THE ANTI VAX MORONS TO COME LOOK AT THIS,0
UgyyWDZksjPrZWXpYjV4AaABAg,"The flu shot is pure bullshit. Wake up!! Every customer cured is a customer lost. Big hospitals, big doctors paycheque, big pharma all need big bucks and big suckers!!! Stop sucking!!!",-1
UgxOMihfAe1zTgroRKh4AaABAg,"James Coble middle school, Arlington, TX",0
Ugyl0LNI2HEOmVHxXqx4AaABAg,Does Moderna have concrete proof of their position? Take legal action.,0
Ugy86CjKA5WmsascGTF4AaABAg,Bro has the lid on,0
UgxUJG4xDoBajzQf3KF4AaABAg,I denied the flu shot years ago and most of my co workers got extremely sick and we were about to close down due to so many people out sick,0
UgyANvtprHIrfelklep4AaABAg,"*Lakeshore Middle School* *Grand Haven, Michigan*",0
Ugxz0ydy0pYGuK_810N4AaABAg,"From what I understand, pharmaceutical companies already need to do separate studies specifically for the US approval process because of arbitrary differences they have with the rest of the world's standards. This might just tip companies over into not bothering any more",-1
UgymUv5tvnEEXbv1kdh4AaABAg,Krammer talking about vaccines Worlds are collading jerry worlds are collading,0
UgydOdvOPGXygl9Eqfl4AaABAg,The flu is not even contagious… plenty of studies are out there,0
UgyCf34ErRRMX4MH0nl4AaABAg,UHhh,0
Ugz4RqpEJeJmS_EXz554AaABAg,"I find it funny how everyone is arguing about the shot, and I’m just here like, “Ha. I CANT get the flu shot.” XD",0
UgzTXOXbASVf0kdca014AaABAg,I haven’t got a flu shot for 3 or 4 years,0
Ugx430aAaySTEy3tJhF4AaABAg,Flu Shots are important for health,1
UgwcnObr1KqmNFXOEDV4AaABAg,NHS nurse here Sorry not in a risk group to even consider getting a flue jab. Sadly regret getting covid vaccination as qll those clowns threaten us being moved if not getting one,-1
UgyVGy6n9BFtv2HeWId4AaABAg,Never would I get another flu shot! It’s been over 10 years without one and my health has been better than ever I haven’t gotten sick in 3 years! The shot is a scam trust your natural immunity with natural herbs!,-1
UgwRbiMzxCuvUC85o6x4AaABAg,I’m a clinical pharmacist at a hospital and I agree totally. I have foregone the flu shot for years and they make you wear a scarlet letter on your badge stating you didn’t get it and make you wear a mask. Luckily I work nights 😂,-1
UgzntgJJpr19vN07sst4AaABAg,I’ve gotten sick almost every time I’ve gotten the vaccine. My sister got severely sick and stopped getting it.,0
Ugwdtebj_lSAJbIy3Od4AaABAg,Did anyone notice no one got the flu during the pandemic in 2020?,0
