text_clean,label
"When I first heard of the mRNA vaccines, I was hesitant to get one. Then I realized that mRNA vaccines would be the most effective method to counter future epidemics. Globalization has increased the likelihood of a quickly developing epidemic. mRNA vaccines can be designed and implemented quickly. As soon as the Covid vaccine was released, I received one, knowing full well that I was a test subject. In my opinion, I was a test subject for a good cause. My grandmother barely survived the 1918 flu; in her 90's, she still remembered it as the worst headache of her life. In my 40's, I lost hearing in my right ear because of a viral infection. I have two friends who had long Covid; their recovery took years, not days or weeks. Viruses can cause permanent damage to your body. Patients who survived polio in later life have to contend with post-polio syndrome. We need to support US public health efforts and medical research, both basic and applied. Recent research suggests that getting the shingles vaccine may decrease the risk of dementia associated with aging. Would you get vaccinated if there was evidence that it decreased your risk of cancer? We need a trusted global disease monitoring network. Our systems aren't perfect, but they are better than the alternative. China and Russia also developed Covid vaccines that were not as effective as the mRNA vaccines developed in the US and Europe.",1
They hate generation x,-1
Imagine getting halfway through your study and the FDA tells you that you need to change your study.,0
America's empire dying by thousand self-mutilating cuts.,-1
Has it occurred to anyone else that perhaps the reason they are not concerned with climate change is because WE are the carbon they are reducing? Culling the useless eaters and turning us into a serfdom 🤬🌊🇺🇲💙,-1
They should tell RFK jr. it has been fermented and wrapped in a moose skin for 8 weeks to make it nice and pungent.,1
"Moderna was better than Pfizer, but Moderna wasn't a stock option.",1
"Remove RFK Jr. he got his positions via his Epstein connection, like everybody else on Trumps team.",1
"The anti-science crowd is in the Library of Alexander burning and breaking things they don't like. They are acting like the religious fanatics they complain about, like the Taliban, when they don't like something they go in an destroy it as it's existence offends them.",-1
Sounds like a move to decrease the over 50 population.,1
"Thank you, Dr. Rubin 🇺🇸💪🏻🇺🇸💪🏻🇺🇸💪🏻🇺🇸💪🏻",1
"Where are the masses clamoring about ""big government""? Crickets.",0
"I want to make this clear. This administration has taken a eugenics position where they believe that it is good that the ""less fit"" people die off quickly to ""improve the breed"". They want poor people especially to die young. They definitely do not ant them to live long enough to collect Social Security or use Medicare.",-1
"It seems rigged. Most of the ads for pharmaceuticals. I see on TV say that they are accelerated through FDA process. So if they don’t have to wait as long, why do these other companies have to jump through hoops?",-1
"Pretty sure RFK is actively trying to create some form of plague, probably in his mind to wipe out people that aren’t in his party.",1
"From what I understand, pharmaceutical companies already need to do separate studies specifically for the US approval process because of arbitrary differences they have with the rest of the world's standards. This might just tip companies over into not bothering any more",-1
"It is classic deflection on the part of individuals who being unable to intelligently argue via science then attempt to obfuscate this fact by making pseudoscientific arguments which are rooted in ideology rather than science. Moral: this correctly is viewed as a reformulation based upon an already proven _""vaccine model""_ - that being mRNA based vaccines. Thus the new vaccine is less _""new""_ as far as a vaccine delivery mechanism and more an alteration in the viral pathogen being targeted by the vaccine. It is not unlike taking a proven cake recipe which used chocolate and substituting vanilla for chocolate. The cake is still a cake based upon a proven recipe and all you did was to change an ingredient.",-1
"I bet if the company buys a particular cryptocurrency, maybe funds a documentary for another family member, suddenly their problems would go away.",-1
Thank you for doing this! I think it is so important to keep an eye on the people in charge of our health right now!,1
FDA will grant the meeting with Moderna and review of the vaccine as soon as they can figure out how to move the goalposts again.,1
It’s insane how they want to kill us.,-1
Scary and disappointing that the FDA is corrupted….,-1
Disgusting refusal to do their job.,-1
"Pharma companies spent less than .05% of their PROFITS on R&D... FDA is wrong, but Pharma is ultra greedy!",-1
It's already been Proven that the Covid Vaccines use your own DNA/RNA to produce a Toxin/Poison called Spike that attacks the Organs causing Horrible Diseases and Death. It has been Proven!; That 75% of the people who Died from Covid in Fact were killed by the Vaccine!. Our Government Had Hearings that Validated this Fact. You can look up the Hearings on Ytube. PEACE.,-1
Wtf?,0
"Future Inovation ?? How much more Brain Drain can we, the US, take before we beome the 'slow kid' on the international stage...",0
Dr Rubin are you familiar with the idea of autogenocide? It's a big part of the fascist playbook.,-1
"So in the fall I need to go to Canada for the new influenza vaccine……go visit a friend, go out to lunch, ……three more years of this😢",1
Impeach RFK Jr. Impeach Trump. This is insane. This is entirely their fault. Get these despicable con artists out of our government. We are so screwed if we can't get a sizeable Democrat majority in Nov.,-1
"We need to get the FDA to start performing colonoscopies since they seem to be so adept at sticking their head their ass when doing evaluations of studies, a colonoscope will no longer be needed.",-1
It’s about the people not the CORPORATIONS! I don’t like Robert Kennedy stance on some things but I do believe that if we can do more robust testing before giving it to the American people than we should. Why does this country put money above its own people.,-1
"Are companies spending their own money to develop these meds, or do they spend tax dollars?",0
Thank you❤❤❤❤❤❤❤,1
WHY is the Trump administration making business more difficult for drug companies & vaccine companies? And cozying up to other industries.,0
This is criminal,-1
Refuses to review???,0
Under no circumstances would I get an mRNA vaccine of any sort after the COVID vaccine fiasco. Sorry.,-1
I hope we survive this presidency.😢,1
Eugenics.,0
We will happily take your biotech and biomedical scientists in Europe if the US administration doesn't want them. I believe that France and a few other countries have allocated specific funding for those who are losing theirs to the current US admin's bs.,-1
So many people are going to die and nobody cares.,-1
Stifling innovation is the plan,1
This is sad.,-1
I’m assuming that these sort of trials/drug developments typically take a couple of years (Covid vaccines were hailed for such a quick development to production timeframe) as such hopefully you will only have a relatively short period where this idiotic administration is acting like clowns and we’ll see reality return once they’re gone. Fingers crossed,1
Does California willing to test it,0
They are trying to kill off boomers so they don't have to pay out their Social Security benifits. They aren't even trying to hide it at this point.,-1
At this point it might be safer to live in China.,1
"I work in an office that interacts with the USDA and other federal agencies for grant funding. Everything is going this way- constant, arbitrary changes and expectations from Fed officials. They are cutting funding for everything and leaving companies and public corporations holding the bill. This is the new administration- they are actively working to make our country worse. In every way, with every decision they take an arbitrary and inexplicable shift from understood methods and goals and lead applicants into failure.",-1
They want us to get sick!!!!!!,-1
They don't have the Infrastructure for the boomers to grow old so they are trying to reduce numbers,-1
"As a non American, it _really looks_ like your government is actively trying to drastically decrease your population. Less people are easier to control afterall, right? 😢",1
I mean they're literally trying to discourage people from taking any vaccines so this does not surprise me at all! The fact that we are about to lose our measles eradication status I don't know if that's the right terminology but basically we have so many people getting measles in this country right now because anti-vaxxers can't understand science and I'm just so incredibly annoyed with this country as a whole. Don't get me wrong I still love my country and I still hope that there will be changes in the future but there's only so much crazy a person can handle.,-1
Ha ha why stolen Venezuela oil tanker halting the STANDARDIZATION OF CLINICAL TRIALS WITH NO EPIDEMIC just war,-1
"If they do this, we will end up beginning a secondary market... And Americans will suffer as a result. 😢",-1
"I'll pass on this new poison, just like the last poison. 😮",-1
Thank you for posting. Greatly appreciated.,1
I hate this administration sooooo much. 🤬😤,-1
Come on! This is needed.,0
They don't want companies investing in vaccines because they believe vaccines are bad,-1
we are so fucked,-1
I hate it here 😭,-1
Can we just become Canada?,0
"I am trying to get into a graduate school for Clinical Psychology and hopefully I get in. But it is just so sad to see how this admin, is attacking science left, right and dead center! What did science ever do them, other than improve their lives and make them longer 😡!",-1
Political agenda against mRNA vaccines.,-1
You’re a hero,1
The Manchurian candidate and his cabinet have once again been successful in running down this nation. Who will stand up to him and them?,0
We need to get these a-holes out of office fast. Call your elected,0
"If I recall correctly, the study involved 40,000 participants, half getting the mRNA vaccine and half getting the regular dose Flu vaccine. Apparently the FDA, a year ago or so, said that design was okay. Now, with Vinay Prasad in charge, the FDA said, ""no, we wanted it compared to the higher dose influenza vaccine."" That seems to mean that Moderna has to go back next year and submit another 40,000 individuals to a randomized trial. This costs lost of money and is a big effort. The results of the recent trial did show Moderna's vaccine to be an improvement over the regular dose vaccine with no increase in side effects.",-1
How is only one person a decision maker at a huge government agency?,0
They are destroying us from within,-1
"What is wrong with the Trump admin? First they fire all the vaccine review board. Notice that this year’s flu shot didn’t work? My mom was hospitalized with the flu this year. Almost didn’t make it. Now, this? RFK jr needs to be removed before we are all dead. 💀",-1
Should we go to Canada to get the vaccine? I’m almost 70 and the flu could be very serious to me!,1
Does Moderna have concrete proof of their position? Take legal action.,0
So what I'm hearing is that we may need to go to other countries to get reliable vaccinations in the future.,0
FDA is so corrupt. This is the same organization that uses the drug companies own studies to determine if they are going to approve a drug or not. No conflict of interest whatsoever! 🙄,-1
"Moving the goalposts is vile. But generally speaking, it’s a bit hard for me to work up sympathy for pharma cos when they routinely bilk their end users, especially US customers, for as outrageously huge sums as possible. Just look at the costs of insulin. 😣",-1
Absolutely shameful.,-1
I really hate to sound like I’m wearing a tin foil hat. But I think this is their way of thinning the herd. Dr Alexis Carrel type of medicine. Eugenics.,-1
Too Bad there isn't a new drug that CURES STUPIDITY!?😉👍🏿👍,-1
"As someone who gets no response to vaccines. PI. I really wish those who they work on, would get them.",-1
"Too bad we now have a federal government that actively denies science, loathes the citizenry, and wishes us harm.",-1
2017-18 flu season killed 52 to 61 thousand in the US. Highest in 20 years. I fear itvis because of government mismanagement. My worry Is that this new Vaccination policy is influenced by the antivaccination movement.,-1
It’s because bozo doesn’t know what he’s doing. RFKJr it’s probably trying to figure out how to do a vaccinations using ROADKILL. . Yeah. That’s gotta be it. 😎👍🏽,1
We'd have a better match to flu strains if mRNA flu vaccines were used. It takes much less production time than for current flu vaccines.,1
"It’s as though they’re intentionally trying to hurt the United States. I swear, a foreign adversary couldn’t do this much damage even if they tried.",-1
"I feel like, OUR COUNTRY IS DOOMED 😮😮😮😢. Really I do.",-1
Hair and message both peak as always.,0
Say his name: it is FDA CBER chief Vinay Prasads attempt at personal revenge against the world,-1
It's pretty clear they are trying to quell the population,1
Gonna have to go to Canada to get healthcare now. Maybe we just just beg Canada to adopt our state!!!,1
Tks Doc.!!!,0
"Medical professionals- Canada is actively recruiting. You’re welcome here, where we believe in science.",-1
Guess I will have to travel to get vaccines and cures the United States will not allow,1
That’s what happens when the scientists are fired or sidelined and the quacks run Trump’s FDA.,-1
"It's about a whole bunch of anti -vaxx and anti-science kooks from RFK Jnr downwards running the Dept of Health, the NIH, the FDA and the CDC. I am a recently retired academic oncologist spent all my career was working in a a tertiary level teaching hospital in an oncology service. My job that involved treating patients, training new specialists and a major component of participation in ongoing clinical trials of new agents in the fight against cancers. In that last 30 years a revolution has begun with the advent of the so called biological agents all targeted at specific molecular biologic pathways common in many types of cancers. The concept of making and using mRNA vaccines started off as research into new better ways to treat cancers and pretty soon it was understood that mRNA vaccines and the technology behind them had a much wider use across many other fields of medicine. World-wide there are two statutory bodies whose approval of any new agent is essential before that agent can be used - one is the US FDA and the other the European EMA. The approval of either agency for use of any new agent in ALL highly developed, developed, and developing nations and both were fully trusted. Sadly trust in the regulators in the US is now gone and already in the US whole systems that took decades to build and to hone to perfection are collapsing and the thousands expert personnel that worked in them are simply leaving I can see already that the American and worldwide academic scientific community, and the major pharmaceutical companies are discarding looking to the FDA for guidance and approval.. From now on it will be the EMA that sets the direction and the pace of medical research.",-1
Drug companies are trash.,0
"At the same time, they're greenlighting trials of Ivermectin for treating cancer???",-1
Thank you Doctor. We need to know. It’s probably just like the Canada Bridge. Some other drug company bribed trumpf.,1
Wake up guys they are actively culling the American people by attacking our medical accomplishments.,-1
When will this administration going to end,0
You’re like Forest Gump’s Momma; you always explain things so we can understand them. Thank you for your service.,1
FDT AND FRFKJr.,0
Another grift,0
"The FDA is so buff, it’s really rad",0
Well that's gonna destroy the incentive for pharmaceutical companies to manufacture new vaccines.,-1
vaccines are soon to be illegal in the US,-1
"As a senior who is also disabled, I would love to be able to sue the FDA to make them review this drug. My health is in jeopardy without drugs like this.",1
They're so ignorant and short sighted.,-1
Moderna is only available in Canada because they bought their way in. Why do we need a new flu shot? It is all just a guess on what strain will come our way anyway. PS I am not anti vax.,-1
Any chance that California might review it since they are taking over the duties of the CDC? RFK Jr is the worst thing to happen to the health of this country since Covid. What a moron.,-1
The idiots are in charge and the rest of us have to wait 3 more years before they're gone.,0
"Getting all my vaccines updated because of this mess. Already got three, need to get three more.",-1
"It's just another facet of their overall grift, and while this will have life and death consequences they couldn't care less.",-1
"They want you to drink blue dye and raw milk, and sunburn your taint",1
Impeach rfk jr,0
Why not get rid of antibiotics they’re overrated we don’t really need them. You can get rid of humans a lot quicker.🙄🦧,0
I heard that the FDA was against MRNA vaccines. I know RFK is.,-1
Sounds like another Trump scam to get a crypto pay out,-1
republicans want us all dead. Prove me wrong.,-1
Sooo going to Canada soon. 😂,0
This administration wants to kill off Americans.,-1
What's the difference between the mRNA flu vaccine and the Flurix flu vaccine?,-1
This is insane!,-1
"To control a population keep them poor, hungry, sick and uneducated. This must be the sick part of the playbook. BTW If I could remember who said that I'd cite them.",-1
The orange faced cesspool's cabal is going to cost a lot of lives.,0
If investing in America means keep using our children our taxes for sickening n get crap. America will adjust .bye maderna,-1
Anyone think they just want to kill us? And the planet? I’m beginning to think that’s the master plan. Good grief!,1
I've been saying all along that Moderna needs to relocate to the EU or Japan. This administration is targeting Moderna and trying destroy the company when it was the one that saved Trumps ass !,-1
Thank you for keeping us informed.,1
I wonder how much of a hand RFK Jr. has in this decision.,1
Strategy is to stifle?,0
These people have no business bring inthe FDA let alone in charge of it!,-1
Of course this admin is being disingenuous. It's not about the trial design. They're flat out against vaccines and will do everything they can to prevent new vaccines from reaching the market.,1
Welcome to the destruction of public health in America. It’s so disheartening.,-1
it's pretty clear rfk wants to deny anything related to mRNA that he can,-1
"Heard about this and went, ""WTF???"" This is a typical Trumpian move, increase paperwork and make vaccines, clinical trials, healthcare more complicated. Silly me, I thought Republicans were against more regulation and interfering Bureaucracy!",-1
Trump wants his palm greased.,0
Old Worm Brain likely has his hand in this. He is probably mixing us up some bat guano to take instead.,-1
"New medicines is one of our major exports. If you wanted to hobble the US economy long-term, attacking our science would be on the list. It's stone aged thinking that's going to see us even less able to afford a chance at the good life.",1
Here's the ultimate cure.Send everyone that believes in god to meet him,-1
An mRNA vaccine for flu sounds great! I hope I don't have to go to another country to get it. Come on FDA! Don't let us down.,-1
Insanity,-1
Scientists are being recruited by other countries. The brain drain is going to have repercussions for generations. I do wonder what amount of bribe will get the vaccine approved.,1
Good. We don’t need to alter our dna.,1
Can we go to Canada for vaccination?,0
The FDA is waiting for a bribe to enhance Trump's wallet before approving this development.,-1
"Nobody’s going to want to invest in the US, period, before Trump is done with us.",1
They are not good,1
What have we come to?,0
"The tRump regime wants us to die. Everything they do results in chaos, pain and death. We need to know why.",-1
Why are they actively attacking science and medicine! I don't understand. I want my vaccines damn it.,0
When JFK Jr. comes back i hope he kick RFK Jr's ass.,0
Apples and oranges. 🙄,0
Take them to court,0
"Confirm a halfwit with a dead brainworm in his head as HHS, what could possibly go wrong?!",-1
are we regular people in this country going to be able to withstand the incredible amount of trumpian slings and arrows for another 3 years or even the next 11 months?,0
"I'm 64, & feel like I am the enemy of this FDA. By design IMO",-1
"Thank you , Dr. Rubin.",1
Nooooooooooooooooo,0
😮 and... someone insisted we take the jab,-1
FDA's position: why develop and test new vaccines when we already have pre-approved Dr Oz's Miracle Snake Oil?,0
Bastards!,-1
RIP American pharma industry,-1
"No vaccines for me especially after the vaxx deception, deaths & fraud Fauci can’t trust the system ,big pharma medication states all the dangers of side affects when you go to fix, mask 1 illness & end up with 7 or more dangerous health risks.",-1
PREVENT flu etc by taking plenty of Vit D3 daily!,-1
My son and his partner plus their two little girls have not had any covid vaccine and three of them contracted covid the little girls and their mum and their symtems were a mild fever and hives . I contracted Covid twice and i have been vacinated I couldn't move from my bed for a week on both incidences. And i have had long covid on both occastions .If I had my way again i would not have had the vaccine.,0
"I got it one year and never got the flu so many times and was the worst year for getting the flu ive ever had and not to mention how terrible it makes you feel after getting it, never again.",-1
I've gotten my flu vaccine every year for the last 15 years. I'm still waiting to become magnetic or receive 5g though.,1
Thanks so much for your PSA and I hope people listen to you.,1
"I never get the flu shot or go to the doctor. I work with people all day. I never get sick. I dont get a cold, flu, or anything. I am 41 years old. I think its because I use yoga, ayurveda, and vegetarian diet. I don't smoke, drink alcohol, or use any drugs.",-1
My mom beats me,0
"A flu shot is someone's SWAG (sophisticated wild ass guess)!! There many ""strains"" of flu. The one you get the shot for only covers THAT flu strain!! If you get another strain you will still get the flu!! So it is actually WORTHLESS!!",-1
Another vaccine ad? 2026 now. NO more fake vaccines. Once is enough. Suggest people take daily Vit C as a safer alternative,-1
Doctors never want to discuss the raw materials used to make vaccines? Nobody really knows what goes in them Its not healthy fresh food that we know keeps us healthy. I smell a rat. Vaccines don't protect us from illness,1
"72 year female here. nine days ago, my husband came down with a nasty case of the flu. He still has the cough. He had taken a flu shot. On the other hand I did not get the flu shot, I take astragalus tincture every day, I eat Whole Foods, do not drink alcohol, I’ve been wiping down all of the high touch surfaces with Chloraseptic wipes, keep my hands washed, open the bedroom window wide during the day and cracked open at night, and I do not touch my face. Even after all of the exposure, I have not gotten sick. I’m saying this as I knock on wood.",-1
I have been getting flu shots for 40 year and never had any problems.,-1
"How about eating healthy and living healthy to be healthy, and strengthening the body's natural immune system, the natural way.",-1
"Ha! The 2025 flu shot, in spite of being senior strength, was an abject failure for myself and my friend. I had severe flu for 5 days and it took a few weeks for my lungs to clear. After the 5 days, my GI tract went into cyclical loose/soupy stool and cramps that continued for 4 weeks, until I decided to try a course of Zithromax. Fortunately that seems to have corrected the issue. The doc I saw was no help at all, in fact he prescribed polyethylene glycol for me, thinking it would act like fiber to firm up my stool. What an ignoramus. Lucky for me, I knew better.",-1
Im proud to say I haven’t gotten a flu shot since I was 15 years old. Only had the flu a couple times since I stopped getting them. I swear I got the damn flu every year as a kid when I was forced to get the flu shot!,-1
Take the mRNA spike protein out of the flu vaccine and I would more than gladly take it. My mama did not raise a fool.,-1
"flu shots do not stop the flu it increases your chances of getting the flu, you con not vaccinate against rhino virus",-1
Funny. Never worked for me.,-1
Nice. Pushing the nocebo so can sell more drugs.,1
"Got a shot faithfully for decades. Last 2 years had a significant adverse reaction. No help from the health authorities, so I have reluctantly skipped the shot.",-1
"People that follows RFK Jr’s no vaccine policy are now drying. In between the flue that morphed into Covid and measles, so many Americans are now dead.",-1
I got flu shot once long ago and regret it greatly. Never again. It's nothing but poisonous.,-1
Why should I trust Big Pharma or our Government to actually give us Safe Vaccines? I would rather take my chances of getting a bad flu than Myocarditis or Deadly Blood Clots. They didn't warn people during COVID and they are still deny it.,-1
"Every year I make sure my family gets vaccinated. I remember getting the Flu once every year when growing up, before the vaccine was a thing. Nasty! Also: people should make sure they are vaccinated against other bugs as well; just think about it how a really bad disease (measles) is making its way back.",1
"for the first 25 years of my life I never got a flu shot, and got flu about every third year.....for the past 40 years of my life I have gotten the flu shot every year and have never come down with the flu",1
"So, you are saying that the flu vaccine doesn't have the mrna MRNA , right?!",-1
Are these so called flu caused by chemtrails because they are changing what there putting in the air😱,0
"Type 1 diabetic of just over 43 years here, i usually do get the flu shot; this is also the ONLY reason i got two cov💉d shots.",-1
"Yes, please take double dose of flu-shot this winter. This planet needs to detox of stoopid dodos.",1
The same patiënt thats dying probably got the flushot every year.......i never take the flu shot..did it once the. Got a severe allergy for hay and green kiwi...before that flushot i never had an allergy for anything ....now for years i refuse the flushot and im doing well never get sick..the ones who take the flushot or covid shots or whatever ..they all get sick so fast its unbelievable...the ones who dont take it are never sick...we work out butts off because others het sick so many times.... No one asks for to be sick but if u take these shots everytime and all the time u het sich..istn it about time u start thinking ...why? No shots for me..not ever again...,-1
Take more covid shots 😢,0
We didn't take vaccines or flu shots insyallah were doing fine,-1
"💯 I've been getting the flu shot every year for over 30 years...I am immune compromised and haven't had the flu since I started getting the shots...whereas beforehand, I was out of action for at least one week per year due to influenza. Also, the pain in the arm afterwards actually gets less and less noticeable over time.",1
After survived covic vaccines? Joke!,1
"No thanks to the vax. I’ve never had it and I’m good. They never seem to get the strand right either. Also, why did flu cases disappear during C19???? Take vit D people. Notice you aren’t usually sick in summer.",-1
"Our healthy immune system is faaar better than a foreign shot! I got a fly shit some years ago and afterwards I got bronchitis and straight after that I got tonsillitis... And the doc said, at least u didn't get the flu! 😂😂😂😂",-1
What about mutation???,0
"No need Diet and exercise Your body is your temple Take care of it and it will take care of you If you have diabetes, are overweight or have underlying conditions then take the shot because at that point your body is dying anyway and if you pass because of the flu then you were previous killing yourself anyway",-1
"I haven't taken the flu shot in over 15 years and I've only got sick maybe 2 times. Every time I got the flu shot I got sick so I stopped taking it. My body, my choice. I'm only speaking for myself on this.",-1
"Had the flu really bad about 15 years ago, haven't missed a shot since, also haven't had the Flu since.",-1
Yeah and the majority of the most serious cases are people who are vaccinated. That's the part they don't tell you. And the amount of people who have chronic health's issues post vax is more than the flu causing late stage chronic issues.,-1
"Research shows that flu shots do not prevent influenza, and in fact, those who receive flu shots are actually more likely to contract and suffer from the flu. There are many different flu viruses, and the shots only give you protection, supposedly, for just a few. Furthermore, every time I ever got a flu shot, my body recognized the invader and acted accordingly, that is, I ended up with flu symptoms, instead of not having any problems at all that year. Once I stopped getting flu, jabs, I stopped getting the flu. And to try to scare us with 500,000 people dying every year globally, that’s just over six thousandths of 1% of the world’s population - most of whom had elevated risk. And since I’m healthy, I’ll take my chances. This whole video thing is a crock.",-1
Did he have the flu vaccine?,0
You making the flu virus as the enemy. Flu is on your side because when you do get FLU ..your body makes antibodies so when your body is attacked your immune system is ready for the attack!!.. Otherwise your cutting your antibodies in half!!,-1
Stay away from big pharma jabs for now. The flu shot anyway is barely effective because the virus mutates. Do things that strengthen your immune system like taking lots of vit C. Make sure your D levels are adequate. Get daily exercise. Those are a must. We do not know what they are putting in any shots now. Is MRNA in these shots?,-1
"My son has a terminal medical condition that causes his muscles to waste away and when he was a young boy, he got a flu shot every year and he got pneumonia every year. When he turned 13, he got so sick from pneumonia that he almost died. I decided to stop giving him the flu shot the next year to see what would happen, and he didn’t get pneumonia. Then we tried not giving him the flu shot one more year after that, and he didn’t get pneumonia either. He has never gotten the flu shot since, and he’s never gotten pneumonia since. He’s now 24, in the last stages of his illness, with no pneumonias!",-1
"Well, I do get my COVID and flu shots. I'll tell you why: at the very beginning of the pandemic I became slightly fluish one night. I went to go lie down. I woke up eight days later. I came to find out from the nurse that I had been unable to be awoken that night. Someone called the ambulance. In the ambulance my heart stopped because my fever had shot up so high. They had a defibrillate me. They had to do it again in the ICU the next day. Once I woke up, it was an additional 3 weeks in the hospital doing brutal lung exercises. It was awful. I was mid-forties at this time. No predisposing conditions. Have I caught COVID since? Yes. Has it caused anywhere near these symptoms? No. Because I get the vaccine.",-1
Thank you 👍,1
"Havent had a flu shot since high-school. I had 2 in 2 years. Both times I ended up sick enough with the flu to hospitalize me, within a week or 2. My family doctor advised me to never get one again and I havent. 23 years later, and I have not been sick anywhere near what i did after flu shots. I will take my chances. Thanks but no thanks, Doc.",-1
"I got the flu shot a total of 3 times in my life, all 3 times I almost died and had to be rushed to the ER. The last time my heart stopped in the ambulance. I've never gotten the flu shot after that.",-1
Unsubscribed.,-1
Who can bring a clean thing out of an unclean? No one,0
Vaccines don’t mean healthy……,0
I would say in my case it has saved me since getting the flu shot I’m now so much better every year! I used to almost die every 2months or every changing season with flu horrible bronchitis pneumonia etc now I’m free of that. Let me tell you how I used to be anti shots person,1
"Don’t be so naive to think that a vaccine is the way to protect. It is not. It is a tool, but the public doesn’t want full protection. Most, not all, who have these issues are result, not of failing to fight disease, but a failure to practice good health—whether intentional or unintentional. You cannot legislate a corrupt culture into morality, you cannot socialize into wealth, and you cannot vaccinate your way into health. #1 nutrient—air. You can live weeks without food, days without water and minutes without air. Most people are breathing trash air, especially if they work indoors. Trash all scents, fragrances, fabric softeners and yes, even essential oils. Detergents need to be a fresh and scent free as possible. A lot more to say on this. #2, water quality, spring water from a good source (I use wegmans brand and Saratoga). Much better than Kirkland purified. #3 good food. Only flour unsifted milled at home. Over 40 nutrients in this flour. It was the only thing that rid my years long congestion. Of course walking and movement. Definitely a musts. All these things should be done plus more and yet somehow going to believe you can inject yourself to health. It does only a little good if you fail across all else.",-1
"Since when is 5-10 days typical, or even mild, for the flu? I work at a preschool and the flu went around a couple weeks ago, majority of us were only sick 24-48 hours",-1
GUYS DON'T LISTEN TO THIS LIBERAL PROPAGANDA!!!! PUT ON YOUR TINFOIL HATS AND PROTECT YOURSELVES FROM HIS BRAINWASHING!!!,-1
There’s a hundred different strains a years you just guess which one. You’re full of it.,-1
How much you getting paid for this bs…..,-1
My friends flue shoot almost cost her life. No thank u,1
Too many people died after Covid ad I honestly believe it had to do with the shot. My bf’s dad died and all of his friends dad died. So strange.,-1
50%?! I would love to know more. Please cite your sources.,1
"I’ve had the flu twice in my life (29). It was really bad but I got over it in a week of bed rest. I asked my doctor if I should get a flu shot, she said I could if I wanted to, but given my health history and age, she doesn’t really see it as necessary and that I’d likely have mild flu-like symptoms after the vaccination so in my case she didn’t think the positives outweighed the negatives. She has a more conservative approach with drugs, only using them when the benefit truly outweighs the risks and focuses more on naturally maintaining healthy lifestyles rather than just pushing drugs as first line treatments all the time, unlike most doctors nowadays. She gives my parents flu shots every year though because they have multiple health issues and are older.",1
"While I hear and appreciate your message, that picture doesn’t Tell me anything. I can see that it‘s a human lung.",1
