tweet_id,safe_text,label,agreement,label_name,char_len,word_len,text_norm
XLA9CL37,<user> Thank you for standing with CA parents and their children in support of <user> #vaccineswork,1.0,1.0,positive,99,16,user thank you for standing with ca parents and their children in support of user vaccineswork
KVQBJBAU,"Dude idc if Disney Land has the measles, that means shorter lines for rides so I'm driving down there rn",0.0,1.0,neutral,104,20,dude idc if disney land has the measles that means shorter lines for rides so im driving down there rn
CDFY1QGD,"BeefTalk: Start your calf vaccinations now <url> via <user> 
Good article on herd health!",1.0,1.0,positive,89,14,beeftalk start your calf vaccinations now url via user good article on herd health
GSCVSPAA,"I don't care what <user> says, you should probably get your kids vaccinated.",1.0,1.0,positive,76,13,i dont care what user says you should probably get your kids vaccinated
QW2SH0OJ,#ACR13 small study shows in 10 pts with lupus shingles vaccine safe. Needs to be confirmed with larger study <url>,1.0,0.6666666666666666,positive,114,20,acr13 small study shows in 10 pts with lupus shingles vaccine safe needs to be confirmed with larger study url
Y15Y0XOB,"CDC: Measles epidemic poses travel risks usat.ly/ixdtv1
Yes, very true but what about the Zombie Epidemic closing in on us?",0.0,1.0,neutral,123,20,cdc measles epidemic poses travel risks usatlyixdtv1 yes very true but what about the zombie epidemic closing in on us
XYUPPEQ4,"Every time I see the ""to vaccinate or not"" debate, I wonder if those on one side of the argument should even have children.",1.0,1.0,positive,123,24,every time i see the to vaccinate or not debate i wonder if those on one side of the argument should even have children
89AB846O,<user> #CDC lied and hid data that black boys have an 340% uncreased risk of developing autism after MMR #CDCwhistleblower help!?!?,-1.0,1.0,negative,131,21,user cdc lied and hid data that black boys have an 340 uncreased risk of developing autism after mmr cdcwhistleblower help
XSXFN1C8,<user> vaccines causing autism,-1.0,1.0,negative,30,4,user vaccines causing autism
ZKURTNG4,“<user> I rarely see arguments about over vaccination.” Which is actually a big deal,0.0,0.6666666666666666,neutral,84,14,“user i rarely see arguments about over vaccination” which is actually a big deal
UR48VF6W,"I'm not obsessed w Ebola, just following an outbreak of world's deadliest disease that has no vaccine, no cure, &amp; up to 90% death rate.",1.0,0.6666666666666666,positive,139,25,im not obsessed w ebola just following an outbreak of worlds deadliest disease that has no vaccine no cure amp up to 90 death rate
V24T47DJ,"<user> Joshthenewt I suck at the game, haha well some people say I don't but my mmr is eh",0.0,1.0,neutral,89,19,user joshthenewt i suck at the game haha well some people say i dont but my mmr is eh
QZX6OHD9,"Don't shake his hand, Pocahontas! That's probably why we have measles now! #Pocahontaslivetweet",0.0,0.6666666666666666,neutral,95,13,dont shake his hand pocahontas thats probably why we have measles now pocahontaslivetweet
5G4PTVA0,"<user> Yes. I'm a part of public health just like I'm a part of nature. I feed an abandoned baby bird, I vaccinate my privileged kids.",1.0,1.0,positive,134,26,user yes im a part of public health just like im a part of nature i feed an abandoned baby bird i vaccinate my privileged kids
CLSMOD0A,"New studies show that vaccines are not associated with autism. In other news, the sky is blue.",1.0,1.0,positive,94,17,new studies show that vaccines are not associated with autism in other news the sky is blue
NSJP73DN,"Not to be repetitive, but I could not be less shocked. No increase in ASD, even in genetically high risk. #vaccinate <url>",1.0,1.0,positive,122,22,not to be repetitive but i could not be less shocked no increase in asd even in genetically high risk vaccinate url
IQSW8EV9,Glad I got vaccinated! “<user> HEALTH ALERT: A case of meningitis has been reported at Monmouth University <url>,1.0,1.0,positive,112,18,glad i got vaccinated “user health alert a case of meningitis has been reported at monmouth university url
IT3VWV5T,You look like you got the measles,0.0,0.6666666666666666,neutral,33,7,you look like you got the measles
6PMH7C56,"<user> <user> Other than that, his defense is not against vaccines being harmful - but the American life being unhealthy.",-1.0,0.3333333333333333,negative,121,20,user user other than that his defense is not against vaccines being harmful but the american life being unhealthy
NVX35DOK,like hello ranked reset they probably did bad in their placements and their mmr went down not yours went up lol,0.0,1.0,neutral,111,21,like hello ranked reset they probably did bad in their placements and their mmr went down not yours went up lol
CSDHI2AI,"Amid measles outbreak, vaccines for teachers aren't required: While much of the attention in the ongoing measles… <url>",0.0,0.6666666666666666,neutral,119,18,amid measles outbreak vaccines for teachers arent required while much of the attention in the ongoing measles… url
NBU6HNFM,<user> <user> <user> <user> “<user> <url> Measles threat”,0.0,0.6666666666666666,neutral,57,8,user user user user “user url measles threat”
6RF49BXV,"Improve mood, energy, immunity, cardio health. 15% kit profit <user> thru 11/11 #Sandy #Donate <url>",0.0,1.0,neutral,100,15,improve mood energy immunity cardio health 15 kit profit user thru 1111 sandy donate url
UHISBYFW,"MT <user> New #Vaccination Bill Would End Exemptions 4Personal, Religious ... <url> Via <user> <url>",0.0,1.0,neutral,100,15,mt user new vaccination bill would end exemptions 4personal religious url via user url
WGLU7FJR,Autism and immunizations: Should you vaccinate? <url>,0.0,0.6666666666666666,neutral,53,7,autism and immunizations should you vaccinate url
MV37WE6V,BART Riders Warned About Measles Infection From Contagious Passenger: OAKLAND (CBS SF) – Bay Area Rapid Transit... <url>,0.0,1.0,neutral,120,18,bart riders warned about measles infection from contagious passenger oakland cbs sf – bay area rapid transit url
R0KEPOT6,".<user> U.S. #Measles Cases Hit 15-Year High. So far this year, 118 cases of measles have been reported in the Unit... <url>",0.0,0.6666666666666666,neutral,124,22,user us measles cases hit 15year high so far this year 118 cases of measles have been reported in the unit url
LIKV0BSZ,Pull Up Myxx Nightlife.... Stint T performing Live Hosted By <user> .... #supportyourown #MMR… <url>,0.0,1.0,neutral,100,15,pull up myxx nightlife stint t performing live hosted by user supportyourown mmr… url
MH3KK5TA,"CDC eyeing bird flu vaccine for humans, though risk is low: Federal officials said Wednesday they're taking steps… <url>",0.0,0.6666666666666666,neutral,120,19,cdc eyeing bird flu vaccine for humans though risk is low federal officials said wednesday theyre taking steps… url
C5ULRGNS,Involved in fight against #Measles and other #Vaccine preventable diseases? Tenure Track opening <user> <url> #JoinUs,1.0,0.6666666666666666,positive,117,16,involved in fight against measles and other vaccine preventable diseases tenure track opening user url joinus
G1CJ54KD,<user> I'm not vaccinating my kids lol,-1.0,1.0,negative,38,7,user im not vaccinating my kids lol
VS1DRSYT,Alleged victim reviewing immunity paperwork so she can resume testimony w/o fear of blackmail prosecution.,0.0,1.0,neutral,106,15,alleged victim reviewing immunity paperwork so she can resume testimony wo fear of blackmail prosecution
6UJBRRLD,Thanks<user> for being more crystal clear about the lack of evidence linking mmr to autism. I noticed :) #MeaslesOutbreak #autism,1.0,0.6666666666666666,positive,129,20,thanksuser for being more crystal clear about the lack of evidence linking mmr to autism i noticed measlesoutbreak autism
25E649I8,<user> giving me DVDs on how vaccinating children is bad,0.0,0.6666666666666666,neutral,56,10,user giving me dvds on how vaccinating children is bad
TE5ZSELL,Hey Now...<user> #mixmasterrod #follow #madhatterdc #mmr  @ MixMasterRod's Upstairs Lounge <url>,0.0,1.0,neutral,96,11,hey nowuser mixmasterrod follow madhatterdc mmr mixmasterrods upstairs lounge url
9NVMT7GL,"I seriously don't want to have a child until this ""anti-vaccination"" movement has ended. It's terrifying.",1.0,1.0,positive,105,16,i seriously dont want to have a child until this antivaccination movement has ended its terrifying
YTAF4OIJ,<user> <user> <user>  epidemic of Enterovirus; mumps; now measles; drug resistant TB is next #Treason #illegalimmigration,0.0,1.0,neutral,121,16,user user user epidemic of enterovirus mumps now measles drug resistant tb is next treason illegalimmigration
25MG3GQ6,"They said I wasn't gone be shit, lol looked like I proved them wrong #RRR #MMR #SRT10MG We Here Baby !!!… <url>",0.0,1.0,neutral,111,22,they said i wasnt gone be shit lol looked like i proved them wrong rrr mmr srt10mg we here baby … url
6CW5ERN4,Flu shots at school boost vaccination rates: Offering flu shots at elementary schools could reduce the number of... <url>,0.0,0.6666666666666666,neutral,121,19,flu shots at school boost vaccination rates offering flu shots at elementary schools could reduce the number of url
UW0BXIRO,“<user> 1) Marin County school board sides with young leukemia patient on vaccinations <url> #GateBreakers”,0.0,0.6666666666666666,neutral,107,15,“user 1 marin county school board sides with young leukemia patient on vaccinations url gatebreakers”
84ZUVYTR,"""Still running with the same niggas til the death of me"" dibiasimb <user> #MMR #ManyMenRecords… <url>",0.0,1.0,neutral,101,16,still running with the same niggas til the death of me dibiasimb user mmr manymenrecords… url
Y3OMTB1Q,"<user> yeah. I'll just stick to my regular vaccines. Oh wait, that gives me autism.",-1.0,0.6666666666666666,negative,83,15,user yeah ill just stick to my regular vaccines oh wait that gives me autism
BAONYLBR,"<user> anti-vaccine people want to control people with fear and weaken herd immunity...so if anyone knows about mind control, it's them",1.0,1.0,positive,135,21,user antivaccine people want to control people with fear and weaken herd immunityso if anyone knows about mind control its them
SNIUDDKD,"Why it's important to #vaccinate #vaccineswork ""<user> Measles update: <user> says working w/ <user> <url>",1.0,1.0,positive,106,15,why its important to vaccinate vaccineswork user measles update user says working w user url
O44VVHXC,I don't think I will ever understand people's reasons for not getting vaccinated and not vaccinating their kids. What?!?! Explain?!?!,1.0,0.6666666666666666,positive,133,20,i dont think i will ever understand peoples reasons for not getting vaccinated and not vaccinating their kids what explain
ZCOLETM5,CIA: No more vaccination campaigns in spy ops <url> via <user> Harm from protected medic status ruse will linger,-1.0,0.6666666666666666,negative,112,19,cia no more vaccination campaigns in spy ops url via user harm from protected medic status ruse will linger
5VPTC5UL,Measles outbreak prompts vaccination debate: A political debate rages as the measles outbreak spreads to more than… <url>,0.0,1.0,neutral,121,18,measles outbreak prompts vaccination debate a political debate rages as the measles outbreak spreads to more than… url
1T5BM6UT,People need to get there children vaccinated! There are very bad diseases coming back!,1.0,1.0,positive,86,14,people need to get there children vaccinated there are very bad diseases coming back
E88B1XQJ,Vaccine Brain Damage Cover Up Implodes: <url> <user> on <user> discussing #CDCwhistleblower <user>,-1.0,1.0,negative,98,13,vaccine brain damage cover up implodes url user on user discussing cdcwhistleblower user
G322PDMD,Vaccines....(@ Childrens Clinic) <url>,0.0,0.6666666666666666,neutral,38,4,vaccines childrens clinic url
39LZM4FP,"did you know you get infected with the measles through airborne transmission 
wtf",0.0,1.0,neutral,81,13,did you know you get infected with the measles through airborne transmission wtf
Q9C5TABK,Access to Fitchburg school is limited amid measles scare <url> Most read by neighbors in #Fitchburg #MA,0.0,1.0,neutral,103,17,access to fitchburg school is limited amid measles scare url most read by neighbors in fitchburg ma
ALVLYD70,<user> <user>  BOTH ARE DEADLY TO SOME KIDS. Allergies are no joke and can be more deadly to a child than measles. Vaccinate every1,1.0,1.0,positive,131,24,user user both are deadly to some kids allergies are no joke and can be more deadly to a child than measles vaccinate every1
6Y6VTXM8,Measles in the 717 😳😳😳😳😳😷😷😷,0.0,0.6666666666666666,neutral,27,5,measles in the 717 😳😳😳😳😳😷😷😷
PNPIT1K0,<user> this topic makes me scared to bring kids into modern society. Time to start looking for private schools who mandate vaccines.,1.0,1.0,positive,132,22,user this topic makes me scared to bring kids into modern society time to start looking for private schools who mandate vaccines
JSYUBMYQ,<user> #GOP STOP blaming #Immigrants first #Ebola now #measles Which diseases?brought their ancestors? #AINF <url>,1.0,0.6666666666666666,positive,114,15,user gop stop blaming immigrants first ebola now measles which diseasesbrought their ancestors ainf url
HS873E7E,Do they already have a cure for Measles?,0.0,1.0,neutral,40,8,do they already have a cure for measles
500UVF6L,"<user> <user> they do, can't attend school unless vaccinated",0.0,1.0,neutral,60,9,user user they do cant attend school unless vaccinated
XN6LTIAJ,"If you don't vaccinate your children, you are a shitty parent. End of story.",1.0,1.0,positive,76,14,if you dont vaccinate your children you are a shitty parent end of story
BN71WM25,"As a citizen of the Kingdom of God on assignment, we have a diplomatic immunity from the fear of man.",0.0,1.0,neutral,101,20,as a citizen of the kingdom of god on assignment we have a diplomatic immunity from the fear of man
ZG363LFB,Top Colorado Doctor Says Adults Worried About Measles Should Just Get A Vaccination: The measles outbreak is… <url>,1.0,1.0,positive,115,18,top colorado doctor says adults worried about measles should just get a vaccination the measles outbreak is… url
QX9KY4P4,<user> nah an idiot is someone who doesn't allow their kids to be vaccinated,1.0,1.0,positive,76,14,user nah an idiot is someone who doesnt allow their kids to be vaccinated
7KEN50CE,Why kids need vaccinations. Late 19th-century maps show measles mortality before vaccines: <url> <url>,1.0,1.0,positive,102,14,why kids need vaccinations late 19thcentury maps show measles mortality before vaccines url url
VW95HEG7,Measles Fears Spread in NJ Amid Suspected Case <url>,0.0,1.0,neutral,52,9,measles fears spread in nj amid suspected case url
URGIK16V,Baby vaccination day. She's getting the measles one early as there are fuckwits here in Chicago who don't vaccinate ensuring it's a problem!,1.0,1.0,positive,140,23,baby vaccination day shes getting the measles one early as there are fuckwits here in chicago who dont vaccinate ensuring its a problem
PM6NIT5K,Loving the measles poster making spirit today! ❤️❤️❤️ <url>,0.0,1.0,neutral,59,9,loving the measles poster making spirit today ❤️❤️❤️ url
2LVXDTH9,Baseball Coach At Santa Monica High Contracts Measles <url>,0.0,1.0,neutral,59,9,baseball coach at santa monica high contracts measles url
ZJ2BI2NV,"im sick of hearing about people not vaccinating their children. I am sick of hearing about people's ""freedom"" to do insane, dangerous things",1.0,1.0,positive,140,23,im sick of hearing about people not vaccinating their children i am sick of hearing about peoples freedom to do insane dangerous things
V27JWHIW,Which one is more risky for childrena vaccination or going to get them from school with your own car?,0.0,0.6666666666666666,neutral,101,19,which one is more risky for childrena vaccination or going to get them from school with your own car
21HVF69Z,What are the odds that the kid with measles uses our lab room??? 😷 <user>,0.0,1.0,neutral,73,15,what are the odds that the kid with measles uses our lab room 😷 user
9GN9U7F0,<user> Parents that refuse to get their kids immunized should be charged with reckless endangerment if their kid gets another sick.,1.0,1.0,positive,131,21,user parents that refuse to get their kids immunized should be charged with reckless endangerment if their kid gets another sick
QH03ZNAL,RT <user> Vaccinations The Measles and Medicaid Expansion <url> <user>,0.0,1.0,neutral,70,10,rt user vaccinations the measles and medicaid expansion url user
43MWGI00,Centers for Disease Control: This Year’s Flu Vaccine Doesn’t Work <url> #health #flu #cure #failure #sick #CDC #really?,-1.0,0.6666666666666666,negative,119,18,centers for disease control this year’s flu vaccine doesn’t work url health flu cure failure sick cdc really
TP0MIEXK,<user> TY. Fought hard 2 NOT vaccinate my kids. Yrs of ppl's judgements. Don't get hurt; get smart,-1.0,0.6666666666666666,negative,98,18,user ty fought hard 2 not vaccinate my kids yrs of ppls judgements dont get hurt get smart
7GMFOQGY,"Vaccinate, people! “<user> All 15 Tarrant County #measles cases and five in Denton Co traced to megachurch <url>",1.0,0.6666666666666666,positive,112,18,vaccinate people “user all 15 tarrant county measles cases and five in denton co traced to megachurch url
PK5MVH6B,HB1251 [NEW] Providing for health insurance coverage for immunizations administered at a pharmacy by a pharmacist. <url>,0.0,0.6666666666666666,neutral,120,17,hb1251 new providing for health insurance coverage for immunizations administered at a pharmacy by a pharmacist url
KZ2RS1J2,A4077 [NEW] Revises and codifies schedule for childhood lead screening along with other immunization and wellness... <url>,0.0,0.6666666666666666,neutral,122,17,a4077 new revises and codifies schedule for childhood lead screening along with other immunization and wellness url
XVNF2DFN,Fridays immunity challenge is walking backwards. To be safe this time be sure to watch your back...,0.0,0.6666666666666666,neutral,99,17,fridays immunity challenge is walking backwards to be safe this time be sure to watch your back
0DSXLZTP,My ’70s Health-Nut Parents Didn’t Vaccinate Me. This Is What My Childhood Was Like. <url> #important,1.0,0.6666666666666666,positive,100,16,my ’70s healthnut parents didn’t vaccinate me this is what my childhood was like url important
KX034WEQ,“<user> People who complain live longer. Releasing tension increases immunity and improves overall health.” Well this is good news,0.0,1.0,neutral,130,19,“user people who complain live longer releasing tension increases immunity and improves overall health” well this is good news
7VSVVU00,"Austerity is not a Vaccine to Crisis... It is a Parasite with Pandemic Potential! It Drains Life, Killing Slowly! #OccupyWallStreet",0.0,1.0,neutral,131,20,austerity is not a vaccine to crisis it is a parasite with pandemic potential it drains life killing slowly occupywallstreet
SLTZR5CB,“<user> Compensation For Autism Brain Damage and Other Illnesses From Vaccine Court via <user> <url>,0.0,0.6666666666666666,neutral,100,15,“user compensation for autism brain damage and other illnesses from vaccine court via user url
HOGQ697J,Is it that I seek to bear w/ them? Is it that I see the state of ppl's hearts. / #storytelling #autism #vaccineinjury <url>,0.0,0.6666666666666666,neutral,123,24,is it that i seek to bear w them is it that i see the state of ppls hearts storytelling autism vaccineinjury url
85B8L54L,"""<user> Conservative Neurosurgeon Ben Carson Says Vaccines Are A Public Health Issue <url> 1 thing I agree with him on.",-1.0,0.6666666666666666,negative,119,20,user conservative neurosurgeon ben carson says vaccines are a public health issue url 1 thing i agree with him on
58G8VI7V,Measles case confirmed at Plano ISD school <url>,0.0,1.0,neutral,48,8,measles case confirmed at plano isd school url
HMLAGVNC,<user> you're the reason why people think that vaccines cause autism,1.0,1.0,positive,68,11,user youre the reason why people think that vaccines cause autism
D8IZHAF6,#NEWSINGLE #smokendrink #manymenrecords 🔥🔥🔥 @ MMR Studios <url>,0.0,1.0,neutral,63,8,newsingle smokendrink manymenrecords 🔥🔥🔥 mmr studios url
PC9PCTXT,"BdNwz! Measles kiddie parties is a thing! GdNwz! So is ""I have The Most Misinformed,  Arrogant Parents of the Year Awards""!",1.0,1.0,positive,123,21,bdnwz measles kiddie parties is a thing gdnwz so is i have the most misinformed arrogant parents of the year awards
1TI13L1W,<user> ok what's good u have to say about politics about our borders wide open about vaccines killing kids about the devaluation of,-1.0,1.0,negative,131,23,user ok whats good u have to say about politics about our borders wide open about vaccines killing kids about the devaluation of
5AGCUKS4,“<user> News: More than 330 measles cases in just four months in England <url> - #health” Has Jenny McCarthy visited lately?,0.0,0.6666666666666666,neutral,124,21,“user news more than 330 measles cases in just four months in england url health” has jenny mccarthy visited lately
HZ1KH1DK,Three Babies ‘Cured’ Of HIV After Being Given Vaccine After Birth  via <user> <url>,0.0,0.6666666666666666,neutral,83,14,three babies ‘cured’ of hiv after being given vaccine after birth via user url
DZWTVPSH,Who wants a shot of autism juice...I mean measles vaccine!? #ThingsMyDoctorSays <user>,-1.0,1.0,negative,86,12,who wants a shot of autism juicei mean measles vaccine thingsmydoctorsays user
PNX57E59,"<user> let's use Ebola as a step to say #vaccineswork #flu is just as, if not more dangerous. It kills thousands. Also #MMR #polio",1.0,0.6666666666666666,positive,130,24,user lets use ebola as a step to say vaccineswork flu is just as if not more dangerous it kills thousands also mmr polio
7K20GEF1,<user> <user> <user> <user> <user>  over 1.2million children no autism-vaccine link <url>,1.0,1.0,positive,89,12,user user user user user over 12million children no autismvaccine link url
98KOOCMC,<user> where do I go to get Ryno his middle school vaccinations? Too big for shots for tots? Ouachita Parish Health Unit?,1.0,1.0,positive,121,22,user where do i go to get ryno his middle school vaccinations too big for shots for tots ouachita parish health unit
KHA6LZ6C,Don't bring that measles &amp;&amp; Ebola shit in Baltimore,0.0,0.6666666666666666,neutral,59,9,dont bring that measles ampamp ebola shit in baltimore
04C8NTIN,<user> vaccine truth <url>,0.0,0.6666666666666666,neutral,26,4,user vaccine truth url
PELFFNN6,<user> hell yeah. Do you think she thinks the baby has an immunity or something?,0.0,0.6666666666666666,neutral,80,15,user hell yeah do you think she thinks the baby has an immunity or something
KCFZ4YVU,“<user> The measles may have hit Wisconsin. <url> <url> dammit,1.0,1.0,positive,62,10,“user the measles may have hit wisconsin url url dammit
WTL56K4C,<user> i still feel bad. :( please dont be scared of me. #immunizations2012,1.0,0.6666666666666666,positive,75,13,user i still feel bad please dont be scared of me immunizations2012
7XOOBCEC,"""<user> Schumer Wants Measles Vaccine More Accessible <url>",1.0,1.0,positive,59,8,user schumer wants measles vaccine more accessible url
NSZDXB2J,2/3 ...yet the only way to immunize him is to give all 3. Measles vac in rare cases causes brain damage ...which I believe caused Autism ..,-1.0,0.6666666666666666,negative,139,27,23 yet the only way to immunize him is to give all 3 measles vac in rare cases causes brain damage which i believe caused autism
HFJICYLC,Not only should they treat people where they obtained the disease but they should also provide vaccinations to those who reside in that area,1.0,1.0,positive,140,24,not only should they treat people where they obtained the disease but they should also provide vaccinations to those who reside in that area
L2TIWPQD,NEW: Bexar Co. District Attorney Nico LaHood: 'Vaccinations can and do cause autism' by Brian Chasnoff <url>,-1.0,1.0,negative,108,17,new bexar co district attorney nico lahood vaccinations can and do cause autism by brian chasnoff url
3HSMM8U6,Vaccine scare leads to measles epidemic in UK. <url>,0.0,1.0,neutral,52,9,vaccine scare leads to measles epidemic in uk url
FD8ZGBZH,The marketing message to anti-vaxers is: focus on the weak &amp; sick that are at risk &amp; can't vaccinate. Don't focus on the facts.,1.0,0.6666666666666666,positive,135,24,the marketing message to antivaxers is focus on the weak amp sick that are at risk amp cant vaccinate dont focus on the facts
R80SL26M,"The article I just RTed if u choose to not get vaccinated you're being ignorant and just don't even give me the whole ""they cause autism""",1.0,1.0,positive,137,26,the article i just rted if u choose to not get vaccinated youre being ignorant and just dont even give me the whole they cause autism
Y6UD21RZ,"<user> literally does not matter. It will now just be ""what?! There's no way mine could be this low! Blizzard is just bad at mmr!""",0.0,1.0,neutral,130,25,user literally does not matter it will now just be what theres no way mine could be this low blizzard is just bad at mmr
V44G0UAM,I hope you get measles  <url>,0.0,1.0,neutral,29,6,i hope you get measles url
VQON2E1J,Last vaccine! (@ Aurora Health Care - Occupational Health) <url>,1.0,1.0,positive,64,10,last vaccine aurora health care occupational health url
CODMHST1,"Kids night at Earthfare. Time to watch parents douse everything their little angels touch with sanitizer, preventing them from immunities.",0.0,1.0,neutral,138,20,kids night at earthfare time to watch parents douse everything their little angels touch with sanitizer preventing them from immunities
DOZBHCZ5,<user> <user> and the vaccine will injure tens of thousands more! #flushot,-1.0,1.0,negative,74,12,user user and the vaccine will injure tens of thousands more flushot
HVUL7TB4,"It is important to vaccinate and care for baby pigs, when they are… <url>",1.0,0.6666666666666666,positive,73,14,it is important to vaccinate and care for baby pigs when they are… url
6MKACF23,Editorial: Remove 'philosophical' exemption from vaccine requirements for school entry: Michigan is in danger of… <url>,0.0,1.0,neutral,119,16,editorial remove philosophical exemption from vaccine requirements for school entry michigan is in danger of… url
6SQPLPAL,"<user> <user> <user> <user> <user> Even with the vaccine, your child is still at risk of catching the disease.",0.0,0.6666666666666666,neutral,110,19,user user user user user even with the vaccine your child is still at risk of catching the disease
XPBFJJBT,<user> <user> <user> parents would no longer be able to rely on the herd immunity of protected children.,1.0,1.0,positive,104,18,user user user parents would no longer be able to rely on the herd immunity of protected children
4KEP2GOM,"I honestly don't believe in immunization. 
Now they passed a new law that starting this year we all need specific shots to get into school.",-1.0,1.0,negative,139,25,i honestly dont believe in immunization now they passed a new law that starting this year we all need specific shots to get into school
35H36EY6,"Study of more than 95,000 kids finds no link between MMR vaccine and autism <url>",1.0,1.0,positive,81,15,study of more than 95000 kids finds no link between mmr vaccine and autism url
C9QSY5LE,Really?  MMR Shots?,-1.0,1.0,negative,19,3,really mmr shots
F0HV4ZVL,"Need a vaccine! <user> 60 deaths so far from #Ebola in Guinea, 30 more in Sierra Leone. <user> on alert <url>",1.0,1.0,positive,109,21,need a vaccine user 60 deaths so far from ebola in guinea 30 more in sierra leone user on alert url
C01MYDJV,"<user> And the parents need to get their MMR booster shot too. They claim vaccines cause autism and other disorders. Not proven,is it?",1.0,0.6666666666666666,positive,134,23,user and the parents need to get their mmr booster shot too they claim vaccines cause autism and other disorders not provenis it
OA5RF3H5,Pro safety doesn't make me an anti-vaxer.  It makes me an educated consumer #CDCwhistleblower #CDCfraud #MyKidMatters #VaccineInjuryIsReal,-1.0,0.3333333333333333,negative,138,17,pro safety doesnt make me an antivaxer it makes me an educated consumer cdcwhistleblower cdcfraud mykidmatters vaccineinjuryisreal
CWUNFS3X,He wants immunity and he wants it NOW #Scandal,0.0,1.0,neutral,46,9,he wants immunity and he wants it now scandal
CVPWFGZZ,<user> great info today esp reemerging measles and anti-gluten fad. TY,0.0,0.6666666666666666,neutral,70,11,user great info today esp reemerging measles and antigluten fad ty
3RC3UM24,"And chicken pox, kids here are vaccinated against it. So no nasty itchy spots and small scars for my little beauty",1.0,0.6666666666666666,positive,114,21,and chicken pox kids here are vaccinated against it so no nasty itchy spots and small scars for my little beauty
VELLK0CT,<user> <user> <user> <user> my understanding is if you could get individual shots instead of combo vaccines safer,-1.0,0.3333333333333333,negative,113,18,user user user user my understanding is if you could get individual shots instead of combo vaccines safer
WXW9T2ZW,"<user> Immunities, Baby... Immunities 😎",0.0,0.6666666666666666,neutral,39,5,user immunities baby immunities 😎
